id,username,nama,alamat,password,role
1,pixelz,Budi Setiawan,Jalan Bangka Raya No.4,q1w2e3,admin
2,hello,Dennis Dobry,Jalan TB Simatupang,12345,user
3,ninetailed,Tuan Mor,Jalan Hayam Wuruk No.12,tu@nM0r,user
4,indomiegoreng,Rani Ayu,Jalan Daan Mogot No.25,indofood,user
5,putrisalju,Dyah Yunita,Jalan Aja Dulu No.50,p@w00rd,user
6,shinpo,Sky,Jalan Soedirman No.3,asdzxc,admin
7,suksesmakmur,Rahmat Taufik,Jalan Moh. Thamrin No.21,qcoidxm,user
8,kucingaer,Lily Olivia,Jalan Kerinci No.27,tubesdaspro,user
9,cold,Sultan Dontworry,Jalan Gerem No.70,satriabajahitam,admin
10,abangganteng,Pangeran Ganteng,Jalan Radio Dalam No.35,goodboy,user
